stage, knee_angle, hand_distance, hip_angle, elbow_angle, rating
,5.135626592467319,14.0,71.16438792128584,12.468728269955177,
,4.398705354995591,14.0,68.7105619193482,26.28497098734098,
Recovery,4.73341400955353,15.0,67.78240573048168,57.960565250155796,
Drive,5.07994815433165,14.0,66.96317015061608,58.22716682715366,
Drive,5.051075439764328,13.0,66.38460366963011,55.406855519336766,
Recovery,7.393939022747667,13.0,65.83908487667571,52.96103715437126,
Recovery,7.6992564183370815,15.0,65.39487608204838,33.04812486997528,
Drive,5.114066041868755,14.0,65.63754698468783,50.68114777160556,
Drive,4.204901878894332,17.0,65.55604521958347,88.67641078041859,
Drive,3.7281863948954244,20.0,65.90984684383916,91.94365464725169,
Recovery,4.27896864119747,22.0,66.70222473918479,108.74529176925428,
Recovery,4.810231384828112,24.0,67.16634582208245,112.66872514445937,
Drive,5.527948327824857,26.0,68.19859051364818,121.76530253075721,
Drive,6.362277722030007,27.0,68.77418562665959,136.60300827983085,
Recovery,7.392008644573121,29.0,70.37774386134917,155.46163904055632,
Recovery,7.613360750406834,29.0,71.12545024179668,163.92851562551107,
Recovery,8.023231682406665,28.0,72.07857194196602,171.52828419695211,
Recovery,8.315291113745266,29.0,72.96582712089074,177.1751000968066,
Drive,6.892737063184238,25.0,73.86158142836595,177.8109371114785,
Drive,6.859781827755027,23.0,74.76551355370727,172.57204441370598,
Recovery,7.009015720055512,23.0,75.73155606262668,171.72900175434222,
Recovery,7.019451801862368,24.0,76.49480416280582,165.74976318070674,
Recovery,8.695156859364321,25.0,78.11134196037203,168.97654403625688,
Recovery,9.718411519466422,27.0,78.35218563270337,170.0072766965375,
Recovery,10.400418989821947,24.0,79.80576300678587,173.55591445671644,
Recovery,10.82899308761112,23.0,81.44444175658711,170.40908763304512,
Recovery,12.70590813403246,21.0,83.21695114479886,165.02700915672168,
Recovery,12.096857373182605,17.0,84.0428688852918,163.48429741104695,
Recovery,18.065673835358556,16.0,84.92039213998542,166.97235489387361,
Recovery,21.054922760363183,16.0,85.10822781952275,166.97408996961383,
Recovery,25.116436858799744,17.0,87.15052543932276,161.85900728184947,
Recovery,24.973928801416545,15.0,87.13759477388825,163.8749653204034,
Recovery,29.707527984372934,10.0,86.8778695378843,170.8868014436984,
Recovery,31.23921488820876,5.0,86.60286708066025,171.7684192759908,
Recovery,34.968668807601674,3.0,86.11710143963631,170.362461887069,
Recovery,37.56316563276533,2.0,85.42607874009914,168.28699416063546,
Recovery,40.068614477297146,1.0,83.71522001584043,167.82451368543533,
Recovery,42.35557522197122,0.0,82.47149891603947,166.11202015042807,
Recovery,42.99995633101802,6.0,82.0106732336031,164.145024261302,
Recovery,43.38275419026411,11.0,81.72860131202556,163.63568004522048,
Recovery,44.64590205141171,10.0,80.78235579006133,166.9221854411487,
Drive,44.482800391661556,12.0,79.8493517197326,166.66692285999147,
Recovery,44.922398540209606,14.0,78.83511982245142,168.20169998511724,
Recovery,44.69847294767714,14.0,78.49518467374119,165.35410575863094,
Recovery,44.20747348672205,13.0,78.20120755026869,167.95641730118922,
Recovery,44.24121662471703,15.0,78.20120755026869,168.56153451323985,
Recovery,45.397094455027975,17.0,77.68329971435315,168.61866968196074,
Recovery,46.699971257437944,19.0,76.3159802477525,169.1410684354991,
Recovery,48.389318157674964,18.0,75.67232578233511,169.83797884846152,
Recovery,50.55170315901954,20.0,76.37300514010846,170.46545901795417,
Recovery,53.982078764304156,16.0,76.02163103715102,172.49908320057568,
Recovery,54.83412126261363,9.0,74.86979922295201,173.43907143816762,
Recovery,53.36804027003295,5.0,74.24882633654697,173.5347038679068,
Recovery,56.58988868308688,5.0,73.27819837366276,174.67286382620347,
Recovery,58.18812439375436,7.0,73.27819837366276,174.6137177905281,
Recovery,58.168377193915354,6.0,72.45099777093223,173.48977030249463,
Recovery,57.61197056023404,8.0,72.3091103799667,173.53070071040665,
Drive,57.90186552772678,10.0,72.23733064363206,172.74488783788678,
Drive,56.59269425281132,8.0,72.98408275165794,173.21281782035734,
Recovery,56.60398577484655,7.0,73.82555308821927,176.01820845862883,
Recovery,56.771196166618985,8.0,74.80759099044973,175.93965928773304,
Recovery,57.44966000429736,9.0,76.89721005873756,177.85565660716338,
Recovery,55.523611764012415,5.0,76.71836855430803,178.2389248033776,
Drive,53.1561427523266,6.0,76.49480416280582,179.98433400155446,
